year,month,inflow_m3s
# REPLACE with your actual historical/synthetic inflow record.,,
1990,1,42.96
1990,2,67.94
1990,3,92.03
1990,4,74.44
1990,5,106.71
1990,6,101.59
1990,7,59.13
1990,8,45.19
1990,9,33.32
1990,10,50.57
1990,11,72
1990,12,54.6
1991,1,69.21
1991,2,62.46
1991,3,101.99
1991,4,109.31
1991,5,194.08
1991,6,120.86
1991,7,74.36
1991,8,49.25
1991,9,59.46
1991,10,51.57
1991,11,71.18
1991,12,62.21
1992,1,58.56
1992,2,67.67
1992,3,88.88
1992,4,164.6
1992,5,132.72
1992,6,95.84
1992,7,57.23
1992,8,53.6
1992,9,50.39
1992,10,44.77
1992,11,56.96
1992,12,49.24
1993,1,64.56
1993,2,71.36
1993,3,75.15
1993,4,120.23
1993,5,150.2
1993,6,112.6
1993,7,79.83
1993,8,51.45
1993,9,47.86
1993,10,47.64
1993,11,71.89
1993,12,65.91
1994,1,31.48
1994,2,35.11
1994,3,44.58
1994,4,64.79
1994,5,113.65
1994,6,54.69
1994,7,47.96
1994,8,21.55
1994,9,23.55
1994,10,28.61
1994,11,44.78
1994,12,39.48
1995,1,54.97
1995,2,61.71
1995,3,102.46
1995,4,115.45
1995,5,121.15
1995,6,91.48
1995,7,59.94
1995,8,56.01
1995,9,45.04
1995,10,55.23
1995,11,65.49
1995,12,62.73
1996,1,53.09
1996,2,69.82
1996,3,74.73
1996,4,107.34
1996,5,136.46
1996,6,86.74
1996,7,74.03
1996,8,45.13
1996,9,42.19
1996,10,51
1996,11,73.49
1996,12,65.9
1997,1,43.4
1997,2,52.9
1997,3,51.85
1997,4,73.69
1997,5,96.12
1997,6,75.01
1997,7,60.81
1997,8,34.82
1997,9,32.81
1997,10,49.31
1997,11,53.07
1997,12,55.71
1998,1,36.63
1998,2,36.71
1998,3,53.64
1998,4,90.27
1998,5,72.53
1998,6,78.77
1998,7,47.93
1998,8,29.88
1998,9,21.97
1998,10,32.09
1998,11,41.75
1998,12,41.29
1999,1,64.39
1999,2,52.97
1999,3,60.21
1999,4,101.77
1999,5,130.76
1999,6,118.14
1999,7,67.78
1999,8,45.03
1999,9,47.1
1999,10,32.47
1999,11,51.97
1999,12,42.55
2000,1,33.99
2000,2,55.94
2000,3,62.75
2000,4,68.22
2000,5,94.45
2000,6,88.3
2000,7,61.18
2000,8,54.58
2000,9,55.18
2000,10,39.1
2000,11,44.03
2000,12,30.9
2001,1,44.34
2001,2,54.57
2001,3,68.95
2001,4,102.16
2001,5,161.92
2001,6,101.19
2001,7,60.27
2001,8,37.27
2001,9,28.47
2001,10,39.18
2001,11,61.42
2001,12,73.49
2002,1,59.18
2002,2,51.94
2002,3,60.1
2002,4,85.1
2002,5,113.33
2002,6,139.42
2002,7,51.68
2002,8,50.46
2002,9,31.61
2002,10,48.87
2002,11,64.22
2002,12,50.22
2003,1,42.23
2003,2,58.99
2003,3,65.67
2003,4,77.8
2003,5,98.31
2003,6,93.94
2003,7,76.29
2003,8,42.79
2003,9,34.88
2003,10,41.68
2003,11,72.63
2003,12,51.49
2004,1,52.86
2004,2,53.61
2004,3,85.66
2004,4,91.4
2004,5,90.48
2004,6,64.9
2004,7,70.45
2004,8,51.69
2004,9,31.45
2004,10,33.69
2004,11,68.09
2004,12,36.97
2005,1,43.09
2005,2,40.96
2005,3,57.52
2005,4,76.09
2005,5,106.21
2005,6,94.77
2005,7,47.14
2005,8,37.71
2005,9,19.9
2005,10,31.7
2005,11,39.84
2005,12,32.1
2006,1,36.29
2006,2,52.07
2006,3,45.53
2006,4,79.12
2006,5,91.98
2006,6,69.64
2006,7,55.78
2006,8,37.15
2006,9,36.77
2006,10,31.23
2006,11,41.08
2006,12,38.56
2007,1,52.65
2007,2,48.08
2007,3,77.76
2007,4,108.49
2007,5,208.95
2007,6,137.04
2007,7,52.85
2007,8,42.38
2007,9,29.39
2007,10,38.21
2007,11,65.23
2007,12,66
2008,1,35.56
2008,2,31.14
2008,3,58.27
2008,4,67.46
2008,5,94.7
2008,6,65.48
2008,7,47.52
2008,8,25.51
2008,9,23.04
2008,10,48.9
2008,11,38.34
2008,12,34.2
2009,1,128.17
2009,2,70.5
2009,3,106.66
2009,4,164.96
2009,5,270.08
2009,6,121.92
2009,7,87.84
2009,8,76.46
2009,9,61.62
2009,10,59.17
2009,11,89.62
2009,12,61.79
2010,1,43.11
2010,2,54.03
2010,3,61.38
2010,4,100.51
2010,5,141.32
2010,6,89.14
2010,7,58.22
2010,8,39.95
2010,9,33.92
2010,10,33.1
2010,11,57.85
2010,12,46.29
2011,1,107.52
2011,2,99.49
2011,3,105.91
2011,4,135.37
2011,5,261.39
2011,6,162.78
2011,7,106.71
2011,8,51.78
2011,9,71.79
2011,10,73.26
2011,11,80.15
2011,12,77.51
2012,1,51.76
2012,2,55.74
2012,3,75.49
2012,4,100.04
2012,5,137.24
2012,6,128.07
2012,7,39.03
2012,8,42.99
2012,9,39.69
2012,10,45.06
2012,11,57.94
2012,12,38.93
2013,1,71.1
2013,2,45.3
2013,3,91.3
2013,4,100.27
2013,5,134.19
2013,6,82.62
2013,7,59.28
2013,8,57.61
2013,9,43.4
2013,10,59.31
2013,11,77.82
2013,12,58.74
2014,1,80.33
2014,2,98.73
2014,3,105.56
2014,4,153.38
2014,5,170.5
2014,6,170.02
2014,7,72.55
2014,8,74.77
2014,9,53.8
2014,10,76.38
2014,11,102.68
2014,12,107.31
2015,1,43.42
2015,2,65.23
2015,3,69.99
2015,4,107.17
2015,5,196.97
2015,6,123.87
2015,7,61.4
2015,8,42.01
2015,9,43.47
2015,10,38.57
2015,11,61.7
2015,12,63.49
2016,1,71.49
2016,2,48.61
2016,3,101.52
2016,4,132.52
2016,5,179.76
2016,6,164.27
2016,7,53.4
2016,8,50.41
2016,9,53.45
2016,10,40.17
2016,11,100.98
2016,12,71.32
2017,1,53.52
2017,2,78.69
2017,3,107.84
2017,4,126.28
2017,5,161.12
2017,6,119.35
2017,7,61.36
2017,8,50.54
2017,9,43.28
2017,10,52.96
2017,11,85.8
2017,12,51.07
2018,1,60.74
2018,2,46.63
2018,3,60.18
2018,4,98.51
2018,5,141.04
2018,6,89.35
2018,7,71.41
2018,8,47.5
2018,9,40.6
2018,10,42.84
2018,11,85.47
2018,12,46.7
2019,1,38.83
2019,2,30.69
2019,3,44.49
